Data_Ground,GPM,Bulan_Tahun
-309969.0,41.8748,2001-08
-299970.0,229.2502,2001-09
-309969.0,120.80359999999997,2001-10
-299970.0,233.49089999999998,2001-11
-309969.0,161.41609999999997,2001-12
303.79999999999995,269.4538,2002-01
11.799999999999999,45.8945,2002-02
173.1,159.0569,2002-03
186.20000000000002,128.9674,2002-04
186.60000000000002,172.90949999999998,2002-05
216.6,256.8998,2002-06
0.0,48.032,2002-07
0.0,12.469199999999999,2002-08
60.1,25.9938,2002-09
61.7,54.2367,2002-10
183.5,223.3894,2002-11
158.5,156.0891,2002-12
98.5,127.28459999999998,2003-01
181.0,136.2018,2003-02
315.0,298.85720000000003,2003-03
291.6,251.1432,2003-04
304.5,276.0901,2003-05
57.7,58.66369999999999,2003-06
189.8,200.65089999999998,2003-07
88.3,218.3417,2003-08
99.6,112.86599999999999,2003-09
105.0,108.26989999999999,2003-10
171.6,126.69989999999997,2003-11
441.09999999999997,338.3383,2003-12
318.6,239.7007,2004-01
182.4,145.44679999999997,2004-02
224.3,159.32850000000002,2004-03
238.2,199.30059999999997,2004-04
85.5,207.87650000000002,2004-05
123.0,73.6179,2004-06
131.5,150.53420000000003,2004-07
0.0,30.551100000000005,2004-08
0.0,72.4643,2004-09
276.3,101.39789999999999,2004-10
182.39999999999998,168.54650000000004,2004-11
165.39999999999998,106.5408,2004-12
26.599999999999998,110.59719999999999,2005-01
165.0,140.57439999999997,2005-02
177.60000000000002,193.4302,2005-03
156.99999999999997,188.26170000000002,2005-04
232.0,294.0485,2005-05
169.3,184.60510000000002,2005-06
86.1,253.86499999999998,2005-07
86.4,65.2058,2005-08
32.400000000000006,73.0315,2005-09
359.2000000000001,286.75440000000003,2005-10
243.1,125.94890000000001,2005-11
134.5,164.8481,2005-12
307.3,214.54819999999998,2006-01
202.20000000000002,170.6427,2006-02
0.0,118.89290000000001,2006-03
0.0,209.81000000000003,2006-04
0.0,140.87560000000002,2006-05
305.1,314.99930000000006,2006-06
15.3,50.93699999999999,2006-07
0.0,34.8377,2006-08
57.199999999999996,94.67490000000001,2006-09
3.4000000000000004,18.0485,2006-10
225.39999999999998,178.91990000000004,2006-11
233.0,143.0175,2006-12
188.7,254.544,2007-01
0.0,178.4261,2007-02
0.0,166.24069999999998,2007-03
255.50000000000006,155.3847,2007-04
223.59999999999997,200.97700000000003,2007-05
73.4,371.3375,2007-06
454.9,139.26790000000003,2007-07
53.9,139.04229999999998,2007-08
86.3,141.0272,2007-09
200.99999999999997,76.42309999999999,2007-10
0.0,184.8882,2007-11
0.0,346.2209,2007-12
